Date,NG_CT_pair,LE_PL_pair,hedge_ratio,spread,zScore,long entry,long exit,num units long,short entry,short exit,num units short,numUnits,spread pct ch,portfolio_rets,cummulative_rets,LE_PL_pair_NG_CT_pair_pair,sharpe,CAGR
1991-01-04,1.0,1.021312566745533,-0.23013686072962758,0.7649583320654648,,False,False,0.0,False,False,0.0,0.0,,,,,1.2352428511809228,0.0177
1991-01-05,1.0,1.021312566745533,-0.3076673678419368,0.6857754508455094,,False,False,0.0,False,False,0.0,0.0,-0.0602506483925429,-0.0,1.0,1.0,1.2352428511809228,0.0177
1991-01-06,1.0,1.0213888749765678,-0.3478624550913834,0.6446971583476251,,False,False,0.0,False,False,0.0,0.0,-0.03030930891268697,-0.0,1.0,1.0,1.2352428511809228,0.0177
1991-01-07,1.0,1.0214639609925489,-0.372896091009175,0.6191000818391301,,False,False,0.0,False,False,0.0,0.0,-0.01853651823123144,-0.0,1.0,1.0,1.2352428511809228,0.0177
1991-01-08,1.0,1.0291729658437556,-0.39013797519259097,0.5984805429827635,,False,False,0.0,False,False,0.0,0.0,-0.014712274419828475,-0.0,1.0,1.0,1.2352428511809228,0.0177
1991-01-09,1.0,1.0291729658437556,-0.4028422559791282,0.5854056406467713,,False,False,0.0,False,False,0.0,0.0,-0.009242863333606327,-0.0,1.0,1.0,1.2352428511809228,0.0177
1991-01-10,1.0,1.0291729658437556,-0.41265879601842337,0.5753027230202059,,False,False,0.0,False,False,0.0,0.0,-0.007091273205759507,-0.0,1.0,1.0,1.2352428511809228,0.0177
1991-01-11,1.0,1.0291729658437556,-0.42051655385143666,0.5672157310863215,,False,False,0.0,False,False,0.0,0.0,-0.005644249528239078,-0.0,1.0,1.0,1.2352428511809228,0.0177
1991-01-12,1.0,1.0291729658437556,-0.42698012036963146,0.5605636031628627,,False,False,0.0,False,False,0.0,0.0,-0.004621342032253378,-0.0,1.0,1.0,1.2352428511809228,0.0177
1991-01-13,1.0,1.0291729658437556,-0.43241321797492016,0.554972005986709,,False,False,0.0,False,False,0.0,0.0,-0.0038695424582219,-0.0,1.0,1.0,1.2352428511809228,0.0177
1991-01-14,1.0,1.0291729658437556,-0.43706117296895525,0.5501884563603896,,False,False,0.0,False,False,0.0,0.0,-0.0032994285687026636,-0.0,1.0,1.0,1.2352428511809228,0.0177
1991-01-15,1.0,1.0291729658437556,-0.4410957141705129,0.5460362156261638,,False,False,0.0,False,False,0.0,0.0,-0.0028558075371966874,-0.0,1.0,1.0,1.2352428511809228,0.0177
1991-01-16,1.0,1.0291729658437556,-0.44464079469387846,0.5423877145897766,,False,False,0.0,False,False,0.0,0.0,-0.002503066880614501,-0.0,1.0,1.0,1.2352428511809228,0.0177
1991-01-17,1.0,1.0291729658437556,-0.44778821757308024,0.539148472050424,,False,False,0.0,False,False,0.0,0.0,-0.0022173660206928313,-0.0,1.0,1.0,1.2352428511809228,0.0177
1991-01-18,1.0,1.0291729658437556,-0.4506074836732495,0.5362469595966102,,False,False,0.0,False,False,0.0,0.0,-0.0019822417947048324,-0.0,1.0,1.0,1.2352428511809228,0.0177
1991-01-19,1.0,1.0268570907333066,-0.4531559829475706,0.5346735657020658,,False,False,0.0,False,False,0.0,0.0,-0.001073749751398025,-0.0,1.0,1.0,1.2352428511809228,0.0177
1991-01-20,1.0,1.0276781418845105,-0.4554735595212936,0.531919778673633,,False,False,0.0,False,False,0.0,0.0,-0.0018757742175320626,-0.0,1.0,1.0,1.2352428511809228,0.0177
1991-01-21,1.0,1.028429340443684,-0.4575921798015109,0.5293987763345445,,False,False,0.0,False,False,0.0,0.0,-0.0017142664500203648,-0.0,1.0,1.0,1.2352428511809228,0.0177
1991-01-22,1.0,1.0274357655129736,-0.45954018121042356,0.5278519821340979,,False,False,0.0,False,False,0.0,0.0,-0.0010507056231267252,-0.0,1.0,1.0,1.2352428511809228,0.0177
1991-01-23,1.0,1.0261846457127604,-0.461340930811518,0.5265790203623872,,False,False,0.0,False,False,0.0,0.0,-0.0008639498074906882,-0.0,1.0,1.0,1.2352428511809228,0.0177
1991-01-24,1.0,1.0165059293688428,-0.463024609285002,0.5293327392181038,,False,False,0.0,False,False,0.0,0.0,0.001872428202591842,0.0,1.0,1.0,1.2352428511809228,0.0177
1991-01-25,1.0,1.0011556467034683,-0.4646226287085171,0.534840431682259,,False,False,0.0,False,False,0.0,0.0,0.0037591075970510647,0.0,1.0,1.0,1.2352428511809228,0.0177
1991-01-26,1.0,1.0096059836688276,-0.46613092808551093,0.5293914258317642,,False,False,0.0,False,False,0.0,0.0,-0.0037052727328049924,-0.0,1.0,1.0,1.2352428511809228,0.0177
1991-01-27,1.0,1.0121362909360592,-0.4675541165023258,0.5267715107114499,,False,False,0.0,False,False,0.0,0.0,-0.001778349481674461,-0.0,1.0,1.0,1.2352428511809228,0.0177
1991-01-28,1.0,1.0144216645141402,-0.4688967402294866,0.5243409882911498,,False,False,0.0,False,False,0.0,0.0,-0.0016470759172781096,-0.0,1.0,1.0,1.2352428511809228,0.0177
1991-01-29,1.0,1.0043969566789732,-0.47017705258637355,0.5277555992819569,,False,False,0.0,False,False,0.0,0.0,0.002319323469080075,0.0,1.0,1.0,1.2352428511809228,0.0177
1991-01-30,1.0,1.0174324682219404,-0.47138428066562554,0.5203983278413487,,False,False,0.0,False,False,0.0,0.0,-0.004972467643858801,-0.0,1.0,1.0,1.2352428511809228,0.0177
1991-01-31,1.0,1.0174324682219404,-0.47252446223185296,0.5192382700962008,,False,False,0.0,False,False,0.0,0.0,-0.0007834195885270415,-0.0,1.0,1.0,1.2352428511809228,0.0177
1991-02-01,1.0,1.0174324682219404,-0.4736028958496675,0.5181410367186141,,False,False,0.0,False,False,0.0,0.0,-0.0007404438646151809,-0.0,1.0,1.0,1.2352428511809228,0.0177
1991-02-02,1.0,1.0174324682219404,-0.47462425699618244,0.5171018707263695,,False,False,0.0,False,False,0.0,0.0,-0.0007007669453016601,-0.0,1.0,1.0,1.2352428511809228,0.0177
1991-02-03,1.0,1.0174324682219404,-0.4755926929846988,0.5161165525082583,,False,False,0.0,False,False,0.0,0.0,-0.0006640132146340234,-0.0,1.0,1.0,1.2352428511809228,0.0177
1991-02-04,1.0,1.0174324682219404,-0.4765119010540689,0.5151813203734297,,False,False,0.0,False,False,0.0,0.0,-0.0006298628564289145,-0.0,1.0,1.0,1.2352428511809228,0.0177
1991-02-05,1.0,1.0174324682219404,-0.47738519298277887,0.5142928048109239,,False,False,0.0,False,False,0.0,0.0,-0.0005980421750550403,-0.0,1.0,1.0,1.2352428511809228,0.0177
1991-02-06,1.0,1.0174324682219404,-0.4782155488412829,0.5134479738003036,,False,False,0.0,False,False,0.0,0.0,-0.0005683158044458393,-0.0,1.0,1.0,1.2352428511809228,0.0177
1991-02-07,1.0,1.0174324682219404,-0.47900566193250405,0.512644087087728,,False,False,0.0,False,False,0.0,0.0,-0.0005404803958465863,-0.0,1.0,1.0,1.2352428511809228,0.0177
