Date,NG_SB_pair,DC_KC_pair,hedge_ratio,spread,zScore,long entry,long exit,num units long,short entry,short exit,num units short,numUnits,spread pct ch,portfolio_rets,cummulative_rets,DC_KC_pair_NG_SB_pair_pair,sharpe,CAGR
1991-01-04,1.0,1.0,-0.23076923076923078,0.7692307692307692,,False,False,0.0,False,False,0.0,0.0,,,,,1.221996077997822,0.023
1991-01-05,1.0,1.0,-0.30927440022239056,0.6907255997776094,,False,False,0.0,False,False,0.0,0.0,-0.059960822146850994,-0.0,1.0,1.0,1.221996077997822,0.023
1991-01-06,1.0,1.0,-0.35010904423608474,0.6498909557639152,,False,False,0.0,False,False,0.0,0.0,-0.030245441424177066,-0.0,1.0,1.0,1.221996077997822,0.023
1991-01-07,1.0,1.0,-0.37558399074718074,0.6244160092528193,,False,False,0.0,False,False,0.0,0.0,-0.018519368270096415,-0.0,1.0,1.0,1.221996077997822,0.023
1991-01-08,1.0,1.0,-0.393201571452718,0.606798428547282,,False,False,0.0,False,False,0.0,0.0,-0.012645392502082105,-0.0,1.0,1.0,1.221996077997822,0.023
1991-01-09,1.0,1.0,-0.4062265412860394,0.5937734587139606,,False,False,0.0,False,False,0.0,0.0,-0.00926235528267708,-0.0,1.0,1.0,1.221996077997822,0.023
1991-01-10,1.0,1.0,-0.41631859414169203,0.583681405858308,,False,False,0.0,False,False,0.0,0.0,-0.007125552751616977,-0.0,1.0,1.0,1.221996077997822,0.023
1991-01-11,1.0,1.0,-0.42441506257236294,0.5755849374276371,,False,False,0.0,False,False,0.0,0.0,-0.005684065440904164,-0.0,1.0,1.0,1.221996077997822,0.023
1991-01-12,1.0,1.0,-0.43108728711332667,0.5689127128866733,,False,False,0.0,False,False,0.0,0.0,-0.004662346316011509,-0.0,1.0,1.0,1.221996077997822,0.023
1991-01-13,1.0,1.0,-0.43670432114813795,0.563295678851862,,False,False,0.0,False,False,0.0,0.0,-0.003909665998862208,-0.0,1.0,1.0,1.221996077997822,0.023
1991-01-14,1.0,1.0,-0.4415156872802925,0.5584843127197074,,False,False,0.0,False,False,0.0,0.0,-0.003337713335074562,-0.0,1.0,1.0,1.221996077997822,0.023
1991-01-15,1.0,1.0,-0.4456964320799144,0.5543035679200856,,False,False,0.0,False,False,0.0,0.0,-0.0028918552379679154,-0.0,1.0,1.0,1.221996077997822,0.023
1991-01-16,1.0,1.0,-0.4493731526378599,0.5506268473621401,,False,False,0.0,False,False,0.0,0.0,-0.0025367660158834263,-0.0,1.0,1.0,1.221996077997822,0.023
1991-01-17,1.0,1.0,-0.4526397788009259,0.5473602211990741,,False,False,0.0,False,False,0.0,0.0,-0.0022487516938042027,-0.0,1.0,1.0,1.221996077997822,0.023
1991-01-18,1.0,1.0,-0.4555675390029896,0.5444324609970104,,False,False,0.0,False,False,0.0,0.0,-0.002011421746921592,-0.0,1.0,1.0,1.221996077997822,0.023
